provider_name,rating,response_time,review_count,amount,success_score,location,profession
Elite AC,4.8,6,122,6133,1.00,Mavelikara,Painter
Reliable Co,1.8,3,4,4095,0.45,Chengannur,Carpenter
Best Plumbing,3.0,2,4,7650,0.69,Chengannur,Painter
Quality Work,1.1,77,26,3872,0.23,Kayamkulam,Plumber
Smart Home,2.4,79,48,4346,0.47,Alappuzha,Plumber
Trusted Service,1.1,65,33,5625,0.22,Ambalappuzha,Home Cleaner
Expert Hands,2.7,96,12,3684,0.55,Ambalappuzha,Plumber
Best Plumbing,3.5,118,44,5455,0.70,Ambalappuzha,Carpenter
Quick Service,3.7,56,34,4366,0.74,Mavelikara,AC Repair
Fast Repair,3.0,86,46,4327,0.61,Chengannur,Carpenter
Elite AC,2.2,91,2,3297,0.44,Ambalappuzha,Carpenter
Best Plumbing,4.5,13,223,9365,1.00,Chengannur,Electrician
Expert Hands,3.4,75,25,5295,0.69,Alappuzha,Home Cleaner
Best Plumbing,4.5,116,86,4801,0.90,Mavelikara,Carpenter
Reliable Co,2.9,86,7,7039,0.58,Mavelikara,AC Repair
Reliable Co,1.1,18,17,4745,0.32,Mavelikara,AC Repair
Fast Repair,1.6,0,18,3116,0.42,Kayamkulam,Electrician
Quality Work,4.8,6,199,7320,1.00,Ambalappuzha,AC Repair
Reliable Co,2.4,28,44,7054,0.58,Haripad,Home Cleaner
Reliable Co,2.2,70,37,4864,0.45,Kayamkulam,Painter
Smart Home,4.4,113,91,7012,0.88,Haripad,AC Repair
Fast Repair,3.8,22,40,7364,0.86,Chengannur,Electrician
Pro Electric,4.6,28,210,7548,1.00,Kayamkulam,Home Cleaner
Quick Service,3.0,117,17,4356,0.60,Alappuzha,Plumber
Reliable Co,1.8,57,40,3400,0.37,Alappuzha,Electrician
Expert Hands,1.7,71,47,2035,0.34,Chengannur,Carpenter
Fast Repair,2.6,115,17,5857,0.51,Alappuzha,Home Cleaner
Elite AC,1.2,36,29,2228,0.24,Kayamkulam,AC Repair
Smart Home,1.4,71,44,3702,0.28,Mavelikara,Carpenter
Expert Hands,1.8,55,8,3728,0.37,Haripad,AC Repair
Elite AC,5.0,5,51,7734,1.00,Chengannur,Carpenter
Smart Home,1.1,56,15,4732,0.22,Mavelikara,Electrician
Quick Service,2.4,13,18,3019,0.59,Kayamkulam,Home Cleaner
Quick Service,2.6,91,12,4944,0.52,Mavelikara,Carpenter
Trusted Service,1.0,44,30,3109,0.21,Alappuzha,Home Cleaner
Fast Repair,3.4,62,39,7301,0.67,Mavelikara,Electrician
Elite AC,3.8,62,20,8026,0.76,Alappuzha,Electrician
Quality Work,4.5,25,57,5927,1.00,Kayamkulam,Home Cleaner
Smart Home,3.0,52,0,4880,0.60,Mavelikara,Electrician
Fast Repair,3.7,85,36,5901,0.75,Ambalappuzha,Home Cleaner
Quick Service,3.4,101,18,7884,0.68,Alappuzha,Electrician
Trusted Service,2.4,116,14,3291,0.48,Kayamkulam,Electrician
Reliable Co,4.2,45,179,5767,0.84,Haripad,Painter
Quick Service,2.1,70,1,6805,0.42,Chengannur,Painter
Quick Service,1.4,81,30,2026,0.29,Ambalappuzha,Plumber
Pro Electric,1.1,6,23,2554,0.33,Ambalappuzha,Electrician
Fast Repair,2.2,73,39,3020,0.45,Chengannur,Painter
Expert Hands,4.7,11,158,6784,1.00,Alappuzha,Carpenter
Smart Home,3.2,114,37,3671,0.65,Mavelikara,Home Cleaner
Trusted Service,2.8,117,21,5519,0.57,Alappuzha,Plumber
Trusted Service,5.0,8,209,5082,1.00,Ambalappuzha,Electrician
Best Plumbing,2.6,83,23,5016,0.52,Ambalappuzha,AC Repair
Expert Hands,4.3,46,154,5778,0.86,Ambalappuzha,Carpenter
Quick Service,2.0,50,28,2828,0.40,Mavelikara,Plumber
Trusted Service,2.3,84,48,3117,0.46,Ambalappuzha,AC Repair
Fast Repair,2.5,11,23,6809,0.61,Alappuzha,Electrician
Elite AC,4.3,14,140,6954,0.97,Mavelikara,AC Repair
Elite AC,2.5,117,35,4682,0.49,Kayamkulam,Carpenter
Quality Work,3.4,41,9,7912,0.68,Chengannur,Electrician
Expert Hands,1.2,117,1,3289,0.24,Ambalappuzha,Painter
Smart Home,3.0,43,9,5823,0.59,Ambalappuzha,Plumber
Best Plumbing,3.0,35,34,7256,0.60,Mavelikara,Home Cleaner
Trusted Service,1.9,66,10,3064,0.37,Alappuzha,Carpenter
Reliable Co,1.8,10,16,6032,0.45,Kayamkulam,Electrician
Reliable Co,3.3,78,28,7055,0.66,Kayamkulam,Plumber
Elite AC,1.9,101,31,2867,0.37,Ambalappuzha,Electrician
